Date,Field,Activity,Crop
2017-10-15,5,harvest,patato
2017-04-11,5,plant,potato
2017-04-24,5,ridge,potato
2017-03-31,1,plant,sugar_beet
2017-09-21,1,harvest,sugar_beet
2017-03-28,3,plant,onion
2017-09-02,3,harvest,onion
2017-08-11,4,plant,green_manure
2018-04-21,3,plant,potato
2018-05-10,3,ridge,potato
2018-09-26,3,harvest,patato
2018-04-20,2,plant,sugar_beet
2018-10-01,2,harvest,sugar_beet
2018-04-17,4,plant,onion
2018-09-01,4,harvest,onion
2017-10-30,5,plant,winter_wheat
2018-07-23,5,harvest,winter_wheat
2017-11-02,1,plant,winter_wheat
2018-07-23,1,harvest,winter_wheat
2018-08-08,1,plant,green_manure
2018-08-12,5,plant,green_manure
2018-07-31,1,fertilize,fertilize
2018-07-31,5,fertilize,fertilize
2018-11-21,4,tillage,green_manure
2018-11-16,1,tillage,green_manure
2018-11-11,5,tillage,green_manure
2018-10-09,3,tillage,winter_barley
2018-10-10,3,plant,winter_barley
2019-07-05,3,harvest,winter_barley
2019-04-11,5,plant,sugar_beet
2019-09-06,5,harvest,sugar_beet
2019-04-08,1,plant,onion
2019-08-01,1,harvest,onion
2018-10-22,2,tillage,winter_wheat
2018-10-23,2,plant,winter_wheat
2019-07-25,2,harvest,winter_wheat
2019-05-23,2,plant,soy
2019-09-27,2,harvest,soy
2019-09-02,1,plant,green_manure
2019-12-05,1,tillage,green_manure
2020-04-17,1,tillage,potato
2020-04-26,1,plant,potato
2020-05-18,1,ridge,potato
2020-10-20,1,harvest,potato
2020-04-25,5,plant,parsley
2020-03-30,3,tillage,sugar_beet
2020-05-06,3,plant,sugar_beet
2020-09-25,3,harvest,sugar_beet
2020-05-04,5,plant,soy
2020-09-13,5,harvest,soy
2020-03-27,5,tillage,sunflower
2020-04-30,5,tillage,sunflower
2019-10-30,4,plant,winter_wheat
2020-07-31,4,harvest,winter_wheat
2020-04-14,2,plant,onion
2020-09-13,2,harvest,onion
2020-09-16,5,tillage,green_manure
2020-09-23,2,fertilize,fertilize
2021-04-28,2,plant,potato
2021-05-14,2,ridge,potato
2021-10-11,2,harvest,potato
2021-01-10,3,tillage,parsley
2021-04-20,3,plant,parsley
2020-08-07,4,fertilize,fertilize
2020-09-14,4,plant,green_manure
2021-04-02,4,tillage,sugar_beet
2021-04-17,4,tillage,sugar_beet
2021-04-23,4,plant,sugar_beet
2021-09-14,4,harvest,sugar_beet
2021-01-25,5,tillage,onion
2021-03-08,5,tillage,onion
2021-04-02,5,plant,onion
2021-08-31,5,harvest,onion
2021-01-09,3,tillage,soy
2021-06-02,3,plant,soy
2021-09-20,3,harvest,soy
2020-10-23,1,plant,winter_wheat
2021-08-04,1,harvest,winter_wheat
2021-09-18,5,tillage,green_manure
2021-09-21,3,tillage,green_manure
2021-11-25,3,tillage,green_manure
2021-12-21,3,tillage,green_manure
2021-09-23,4,tillage,green_manure
2022-04-25,5,plant,potato
2022-05-04,5,ridge,potato
2022-09-21,5,harvest,potato
2022-04-16,5,plant,parsley
2022-03-22,1,tillage,sugar_beet
2022-03-30,1,plant,sugar_beet
2022-10-25,1,harvest,sugar_beet
2022-03-21,3,tillage,onion
2022-09-05,3,harvest,onion
2022-05-02,4,tillage,soy
2022-06-17,4,plant,soy
2022-08-26,4,harvest,soy
2021-10-20,2,plant,winter_wheat
2022-07-25,2,harvest,winter_wheat
2022-09-23,5,tillage,winter_wheat
2022-10-04,5,plant,winter_wheat
2023-07-18,5,harvest,winter_wheat
2023-05-03,3,plant,potato
2023-05-20,3,ridge,potato
2023-10-07,3,harvest,potato
2022-10-27,1,plant,parsley
2023-04-19,1,plant,parsley
2022-08-20,2,tillage,sugar_beet
2023-05-15,2,tillage,sugar_beet
2023-05-19,2,plant,sugar_beet
2023-09-07,2,harvest,sugar_beet
2022-08-30,4,tillage,green_manure
2023-05-02,4,plant,onion
